id_vuelo,aerolinea,origen,destino,fecha,hora_salida,hora_llegada,capacidad
V001,Iberia,HND,LPA,2026-07-13,13:20,17:35,140
V002,JAL,PVG,CAI,2026-04-21,18:00,19:10,160
V003,Iberia,FCO,MEX,2026-06-20,11:45,16:35,300
V004,Lufthansa,MUC,MAD,2026-07-08,18:40,23:55,160
V005,Air Europa,DUB,PMI,2026-05-28,08:40,15:10,120
V006,JAL,DOH,LAX,2026-04-25,17:10,02:40,320
V007,Air France,NRT,VIE,2026-07-09,07:00,18:20,180
V008,Ryanair,AGP,FCO,2026-05-28,13:50,01:30,150
V009,Air France,VIE,BRU,2026-07-04,13:10,23:25,280
V010,Lufthansa,DOH,MXP,2026-06-08,17:30,04:50,320
V011,KLM,OPO,VLC,2026-07-24,06:40,14:10,140
V012,American Airlines,ORY,GRU,2026-05-07,20:45,08:35,150
V013,KLM,FRA,TFN,2026-07-14,22:30,11:15,300
V014,KLM,ATH,VIE,2026-04-27,21:50,23:50,140
V015,Lufthansa,SCQ,HND,2026-07-20,18:10,01:55,300
V016,TAP,LAX,CUN,2026-06-19,05:10,16:40,320
V017,British Airways,DUB,LPA,2026-06-04,10:50,12:20,280
V018,Ryanair,LGW,MEX,2026-07-30,14:20,18:00,150
V019,Iberia,BOG,CUN,2026-06-25,15:50,17:00,200
V020,Vueling,LIS,MXP,2026-05-10,07:10,20:00,140
V021,easyJet,BOG,TFN,2026-07-03,20:15,02:00,160
V022,Air France,BOG,DOH,2026-07-10,14:45,02:25,250
V023,Ryanair,CUN,JFK,2026-05-11,12:10,18:10,300
V024,KLM,LIM,FCO,2026-04-10,07:00,11:10,120
V025,Aeromexico,DUB,SVQ,2026-05-10,13:50,18:05,300
V026,KLM,GRU,ORD,2026-07-19,20:45,00:55,140
V027,Delta,PEK,WAW,2026-06-03,18:50,06:50,320
V028,Vueling,ICN,PMI,2026-05-31,15:10,19:30,160
V029,easyJet,BOG,JFK,2026-06-03,10:30,18:50,140
V030,Ryanair,JFK,LIM,2026-04-16,22:00,00:20,150
V031,LATAM,PRG,MIA,2026-05-07,17:00,20:45,120
V032,Qatar Airways,ZRH,FRA,2026-05-16,18:50,22:10,180
V033,JAL,ORY,VLC,2026-04-17,15:00,16:50,280
V034,Vueling,CUN,LHR,2026-06-14,07:15,09:25,320
V035,Ryanair,MXP,ATH,2026-08-08,12:00,22:10,220
V036,Aeromexico,PEK,EZE,2026-05-20,13:20,01:00,160
V037,easyJet,FRA,ATH,2026-07-04,14:50,21:00,120
V038,Ryanair,LAX,NRT,2026-04-19,22:20,07:50,150
V039,KLM,BRU,SVQ,2026-05-27,14:15,22:45,300
V040,Iberia,ICN,CUN,2026-07-04,22:30,09:40,150
V041,Ryanair,FRA,LPA,2026-07-14,22:15,03:45,300
V042,American Airlines,ORY,DXB,2026-05-06,13:50,18:50,140
V043,TAP,HND,WAW,2026-04-15,05:40,09:10,150
V044,JAL,CAI,JFK,2026-07-09,18:00,20:10,150
V045,Delta,BOG,BIO,2026-06-23,22:15,05:30,120
V046,Vueling,LIS,VIE,2026-08-03,16:20,03:40,320
V047,JAL,PMI,BRU,2026-08-01,18:15,22:30,150
V048,Lufthansa,PRG,BCN,2026-07-13,15:45,03:05,180
V049,Ryanair,LHR,SIN,2026-05-28,06:50,11:10,250
V050,KLM,BRU,LIS,2026-05-08,05:20,13:00,180
V051,Delta,SVQ,MUC,2026-07-01,21:45,09:25,120
V052,Lufthansa,LPA,FRA,2026-06-23,13:00,15:45,200
V053,Emirates,DOH,OPO,2026-06-26,21:10,04:30,180
V054,Emirates,BIO,DXB,2026-04-10,21:20,04:05,140
V055,American Airlines,PEK,DUB,2026-07-03,08:30,18:00,320
V056,United,PRG,OPO,2026-07-08,14:15,19:00,320
